video_id,comment,likeCount,publishedAt
uDup7cYNU6c,"""Rtx 5090 will be $1599"" press X to doubt",521,2025-01-07T03:28:59Z
uDup7cYNU6c,"The more money they make, the shinier his jacket gets!!!....",9666,2025-01-07T03:29:14Z
uDup7cYNU6c,The unexpected twist is that some of these cards are fairly priced! Maybe I only have to sell a foot!,332,2025-01-07T03:29:34Z
uDup7cYNU6c,First 100 comments get a free one???,5,2025-01-07T03:30:02Z
uDup7cYNU6c,"“Video card only compute 2 pixels, rest is AI” So its a brick without dlss?",214,2025-01-07T03:36:36Z
uDup7cYNU6c,I havent even touched 20 series yet dude 😭,75,2025-01-07T03:36:36Z
uDup7cYNU6c,That is cool and all...  but can it render that jacket?,75,2025-01-07T03:38:25Z
uDup7cYNU6c,looking like instead of getting a 4090 ill just get the 5070 ti when i upgrade,89,2025-01-07T03:39:57Z
uDup7cYNU6c,A third party 5090 will be around 2500-3000 usa dollars with taxes,597,2025-01-07T03:40:50Z
uDup7cYNU6c,I wish he could use artificial intelligence to reduce the prices of the new Nvidia GPUs,1255,2025-01-07T03:42:14Z
uDup7cYNU6c,Leather jacket made from crocodilians - means new higher prices,64,2025-01-07T03:43:19Z
uDup7cYNU6c,Is no one questioning the fact they showed the same thing twice,4750,2025-01-07T03:43:53Z
uDup7cYNU6c,Why are they focusing on FrameGen and Raytracing so much? The vast majority of games have horrible raytracing and most games that look great do NOT need raytracing because the artists are competent enough to design lighting properly.  Why can't they just add more VRAM to the cards like everyone's been asking?,627,2025-01-07T03:44:28Z
uDup7cYNU6c,Jensen Huang's jacket is Tesselated and has Neural Material,22,2025-01-07T03:45:31Z
uDup7cYNU6c,"Are we going to talk about how the editing mistake in the beginning of the video? Double clip, come on man...",6,2025-01-07T03:49:42Z
uDup7cYNU6c,Scalpers gonna love this,312,2025-01-07T03:50:30Z
uDup7cYNU6c,His new jacket too has its own money processing cores just like his GPUs,8,2025-01-07T03:52:33Z
uDup7cYNU6c,They enabled ray tracing on Jensens jacket now 😮,960,2025-01-07T03:53:20Z
uDup7cYNU6c,10:10 for the pricing to begin..,91,2025-01-07T03:56:08Z
uDup7cYNU6c,Jensen upgraded his jacket with DLSS 4.,6739,2025-01-07T03:56:58Z
uDup7cYNU6c,"5070 aint matching a 4090 with just 12gb of vram sorry its just not especially at 4k, indiana jones for example you need 16gb MINIMUM tk even play it maxed out at 2k. Ill wait till these cards are in tech youtubers hands for the real performance numbers, im gojng to take everything he just said with a pinch of salt.",58,2025-01-07T03:57:12Z
uDup7cYNU6c,When's the 5060 coming?,16,2025-01-07T03:57:28Z
uDup7cYNU6c,5070 will only match 4090 after all the frame gen and upscaling is turned to max. Don’t think you’re getting 4090 raw performance for $549.,2118,2025-01-07T04:00:43Z
uDup7cYNU6c,Thank God the greedy bastards didn't charge $1500 for a 5080,300,2025-01-07T04:07:02Z
uDup7cYNU6c,"The 5080 Ti 24 GB is going to be crazy, when they drop it in 8-10 months.",88,2025-01-07T04:08:04Z
uDup7cYNU6c,Thats a lot of power to play Minecraft and Fortnite.,17,2025-01-07T04:08:10Z
uDup7cYNU6c,Notice how he couldn’t even make himself say the price of the 5090,2131,2025-01-07T04:08:27Z
uDup7cYNU6c,bro even his jacket has RTX on,13,2025-01-07T04:09:14Z
uDup7cYNU6c,Jensen Huang always dresses like he's the villain in a cyberpunk movie,618,2025-01-07T04:13:49Z
uDup7cYNU6c,"Jensen: ""So this is a RTX 4090. Yes, I know many of you have one..."" me with my RTX 4070 crying like the peasant I am 🥲",10,2025-01-07T04:15:13Z
uDup7cYNU6c,It’s a mechanical miracle! It has two fans!  “My 6900xt laughing with three fans”  For regular consumers it was a 13 minute showcase. The rest is a showcase for giant corporations. We’re on track to a cyberpunk future.,12,2025-01-07T04:16:21Z
uDup7cYNU6c,Wait... How does 8:17 show 4000 AI TOPS but 11:53 give the 5090 only 3400? Are they really expecting to have to disable 15% of the die on a 5090?,11,2025-01-07T04:16:52Z
uDup7cYNU6c,The price of 5080 isn't as bad as a lot were expecting.,91,2025-01-07T04:17:14Z
uDup7cYNU6c,Something tells me the power is equivalent only when using dlss4… the wording is what makes me think this. 5070 = 4090 in fact he says it when he grabs the lab top,14,2025-01-07T04:19:05Z
uDup7cYNU6c,I wonder how much will the 5090 oc from GeForce republic of gamers,5,2025-01-07T04:21:57Z
uDup7cYNU6c,"The predictive AI is so good, it made the beginning of this video play twice.",5019,2025-01-07T04:26:16Z
uDup7cYNU6c,10:37 how out of touch is this guy with reality of the world? Living in his pretend imaginary graphics where people just have 10k PC...,4,2025-01-07T04:32:41Z
uDup7cYNU6c,Let's be real. When he compares a 5070 to a 4090. That 5070 will need DLSS and Frame Gen turned on. No resolution was mentioned as well.....just saying.,2124,2025-01-07T04:35:39Z
uDup7cYNU6c,"If China gets complete, unabated control of those Taiwanese semiconductor fabs, we are doomed. This is why I support TSMC building factories in America, even if they are hiring Taiwanese immigrants (some of them experts in what is a very, very complex field). At least the plant is here on American soil, instead of within the grasp of China. This is serious.",9,2025-01-07T04:37:06Z
uDup7cYNU6c,Im still on the 980 ti guys...this is going to be a massive upgrade for me,28,2025-01-07T04:42:24Z
uDup7cYNU6c,Can't wait to plug in a 5090 to load slightly more complex models in VRChat,86,2025-01-07T04:43:51Z
uDup7cYNU6c,Taxes gon hit hard 😭😭,24,2025-01-07T04:44:02Z
uDup7cYNU6c,"What a joke. Multi-frame generation??? Man I sure can't wait to have the only way to play a game be with 3/4 of my frames being AI generated and the one real one at half the resolution, only for it to still have the response times of 15-20 FPS",16,2025-01-07T04:45:14Z
uDup7cYNU6c,The worst thing is we never got a game with the graphics they show .,20,2025-01-07T04:45:34Z
uDup7cYNU6c,I cant wait for my 5090 and the raster benchmarks.,6,2025-01-07T04:45:35Z
uDup7cYNU6c,Base price for the 5090 is $1999 until ASUS gets ahold of it and it will be closer to $2999,71,2025-01-07T04:48:01Z
uDup7cYNU6c,This might be the year my 1080ti retires,6,2025-01-07T04:48:09Z
uDup7cYNU6c,Seen your video and bought XAI508F yesterday... it's up %18.5 today. Talk about timing.... Thanks!,1064,2025-01-07T04:48:34Z
uDup7cYNU6c,"It should be illegal for companies to market fake frames as performance uplift. The 5090 is only around 40% faster than 4090 with RT and without frame generation. Assuming 5000 series RT is stronger, that means the raw raster performance uplift is even lower. Judging by how 5090 has way more cores and way higher TDP, nVidia is literally just brute forcing its GPU for those gains with little to no efficiency improvements. Most of the new architectural designs are dedicated to improving AI performance, to bring you more fake frames.",9,2025-01-07T04:49:30Z
uDup7cYNU6c,most people didn't notice that the jacket is generated real-time with text-to-video,330,2025-01-07T04:52:00Z
uDup7cYNU6c,Imagine all the people that bought the 4090 in the last 2 months? Lmao I know they are pissed!!,4,2025-01-07T04:52:59Z
uDup7cYNU6c,For the 60 series an armadillo will show up for the presentation at CES.,268,2025-01-07T04:56:27Z
uDup7cYNU6c,"Wait, did it not say, in the first spec graphic that it had 4000 AI TOPS and in the pricing graphic the 5090 ""only"" has 3400 TOPS? Where did the extra 600 TOPS go?",24,2025-01-07T04:57:09Z
uDup7cYNU6c,It's so shady they're saying that RTX 5070 matches 4090.,440,2025-01-07T05:00:34Z
uDup7cYNU6c,Bruh why they getting more expensive and more expensive,9,2025-01-07T05:02:06Z
uDup7cYNU6c,"there's literally no discernable change on the DLSS example at 1:32, what am I looking at?",18,2025-01-07T05:02:44Z
uDup7cYNU6c,So it is cool that AI can create freames. But did thedy also solve the latency issue? Frame generation for Gameplay felt pretty bad due to the latency issue,4,2025-01-07T05:04:45Z
uDup7cYNU6c,11:44 16 GB vram at $1000 in 2025 is diabolical,60,2025-01-07T05:06:59Z
uDup7cYNU6c,"If I don't have to pay for my car, my mortgage for the house, groceries and clothing for my kids.  I can get one of these RTX 5090.",5,2025-01-07T05:07:42Z
uDup7cYNU6c,GPUs getting exponentially more powerful only means game devs can get more sloppy with their game optimization,15,2025-01-07T05:10:04Z
uDup7cYNU6c,"That extra $500 price increase is just for the new 'Blackwell' keyword they added to the name, and there’s no way the 5070 is as good as the 4090.",28,2025-01-07T05:16:22Z
uDup7cYNU6c,13:25 all that money but can’t change a fire detector,17,2025-01-07T05:21:45Z
uDup7cYNU6c,It's a presentation about high fidelity graphics and the video is only 1080p at the time of writing...,17,2025-01-07T05:28:27Z
uDup7cYNU6c,"5:35 he definitely could've worded this better, it sounded like they literally only render 2 pixels",89,2025-01-07T05:30:41Z
uDup7cYNU6c,Should I get the 5070 when it comes out or the 4070 super?,5,2025-01-07T05:32:17Z
uDup7cYNU6c,"After 20 years gaming on PC, I’m out. This shit is too god damn rich for my blood now. And don’t start with the whole “it’s still a cheap hobby” BS",6,2025-01-07T05:37:28Z
uDup7cYNU6c,"Not gonna lie, that jacket is next level of CEO performance.",6,2025-01-07T05:38:34Z
uDup7cYNU6c,"5070 could be a win, right?",4,2025-01-07T05:38:53Z
uDup7cYNU6c,The RTX 6070 8 GB will run games at 10fps 8k but thanks to the hyper super multi frame generation we will get 500 fps,356,2025-01-07T05:44:33Z
uDup7cYNU6c,It has 2 fans. IT HAS 2 FANS! I am literally... blown away!,14,2025-01-07T05:48:21Z
uDup7cYNU6c,We just want cards with faster raw rasterization. Not AI adding 5ms delay to every god damn frame.,221,2025-01-07T06:03:45Z
uDup7cYNU6c,7:07 they recorded the real sound for this one,34,2025-01-07T06:10:59Z
uDup7cYNU6c,RTX 5070 price will be Miracle,6,2025-01-07T06:13:23Z
uDup7cYNU6c,so basically the 140 fps shown is actually just 35 fps since the GPU is predicting/generating 4 frames ahead and not actually using raw power,35,2025-01-07T06:16:08Z
uDup7cYNU6c,11:18 you can see all the 4090 owner's disappointment to their money decisions,57,2025-01-07T06:20:26Z
uDup7cYNU6c,I love watching graphics demonstrations through a 1080p video...,1703,2025-01-07T06:22:07Z
uDup7cYNU6c,I’m just waiting for the first reviewer to turn DLSS off… seems they put 100% of their effort in AI tensor stuff.,387,2025-01-07T06:27:50Z
uDup7cYNU6c,Little known fact. This keynote is a fully AI generated hallucination.,9,2025-01-07T06:30:09Z
uDup7cYNU6c,I’ve heard word AI in this video more than in whole last year.,98,2025-01-07T06:37:05Z
uDup7cYNU6c,11:41 - well that debunks the rumors that every 50 series GPU would be above $2000 or whatever.,11,2025-01-07T06:46:05Z
uDup7cYNU6c,Am buying ur rtx 4090 for 300$ if somone is selling,17,2025-01-07T06:48:59Z
uDup7cYNU6c,"from a country where nuclear plant isn't available yet, how much electricity we need to power this thing ?",23,2025-01-07T06:49:57Z
uDup7cYNU6c,"How is the 5070 that ""Cheap""",5,2025-01-07T06:52:12Z
uDup7cYNU6c,"Notices how many times he has mentioned ""AI"", he knows what their selling pt is!",33,2025-01-07T06:52:22Z
uDup7cYNU6c,Must be some error in editing... same clip repeated twice in the beginning...,37,2025-01-07T07:00:46Z
uDup7cYNU6c,"Jokes aside, the 5080 could cost $700, like the late GTX 80-class cards, and still be marginally profitable.",9,2025-01-07T07:08:17Z
uDup7cYNU6c,These tech CEOs doing the same Steve Jobs routine like they’ve been trained by an AI,63,2025-01-07T07:20:33Z
uDup7cYNU6c,You called it weeks ago and XAI508F is already taking off. So glad I made it to this presale,0,2025-01-07T07:26:37Z
uDup7cYNU6c,Where can i buy XAI508F??,0,2025-01-07T07:26:37Z
uDup7cYNU6c,XAI508F going parabolic this cycle 🚀🚀🚀🚀🚀,0,2025-01-07T07:26:39Z
uDup7cYNU6c,Depends on your financial situation you are correct as far as how much to invest into XAI508F. But the 200% deposit alone makes it worth while to go big.,0,2025-01-07T07:26:51Z
uDup7cYNU6c,Good RTX 5090 2k most people wont buy I can actually obtain one :),0,2025-01-07T07:27:15Z
uDup7cYNU6c,"Actually, there’s a lot we can do without AI and we’ve been doing it for years. Y’all just make up any excuse to put AI into everything.",0,2025-01-07T07:28:25Z
uDup7cYNU6c,549 bucks for 4090 performance!?,0,2025-01-07T07:28:27Z
uDup7cYNU6c,5050 would cost 5050$?,0,2025-01-07T07:29:06Z
uDup7cYNU6c,Holy moly as someone not really up to date with the latest tech. Are we up to here already?!?! crazy,0,2025-01-07T07:30:42Z
uDup7cYNU6c,"If his claims about 4090 performance on a 5070 turn out to not be marketing hyperbole, it's pretty much over for AMD because Intel and that B580 are going to dominate that sub $300 market and 5070 will mop up that $400 to $500 price range where AMD has at least been competitive.",0,2025-01-07T07:31:50Z
uDup7cYNU6c,Can we please get Foveated rendering with dynamic projection so we can actually use frame gen without such a huge penalty please?,0,2025-01-07T07:32:13Z
